"filename", "language", "JSON", "JavaScript", "Markdown", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\E-Commerce Website (Full)\QUICK_START.md", "Markdown", 0, 0, 142, 0, 0, 0, 0, 0, 78, 220
"c:\E-Commerce Website (Full)\api\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 3, 17
"c:\E-Commerce Website (Full)\backend\MONGODB_SETUP.md", "Markdown", 0, 0, 112, 0, 0, 0, 0, 0, 53, 165
"c:\E-Commerce Website (Full)\backend\bootstrap.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 11, 19, 103
"c:\E-Commerce Website (Full)\backend\config\db.js", "JavaScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, -4
"c:\E-Commerce Website (Full)\backend\config\env.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 1, 18, 129
"c:\E-Commerce Website (Full)\backend\controllers\authController.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 3, 9
"c:\E-Commerce Website (Full)\backend\controllers\contactController.js", "JavaScript", 0, -15, 0, 0, 0, 0, 0, -4, -1, -20
"c:\E-Commerce Website (Full)\backend\controllers\newsletterController.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, -3, -1, -11
"c:\E-Commerce Website (Full)\backend\controllers\orderController.js", "JavaScript", 0, -34, 0, 0, 0, 0, 0, 1, -4, -37
"c:\E-Commerce Website (Full)\backend\controllers\paymentController.js", "JavaScript", 0, -44, 0, 0, 0, 0, 0, -29, -14, -87
"c:\E-Commerce Website (Full)\backend\controllers\productController.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, -2, 2, 6
"c:\E-Commerce Website (Full)\backend\controllers\userController.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\E-Commerce Website (Full)\backend\controllers\webhookController.js", "JavaScript", 0, -33, 0, 0, 0, 0, 0, -11, -10, -54
"c:\E-Commerce Website (Full)\backend\data\admin_action_logs.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\E-Commerce Website (Full)\backend\data\orders.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\E-Commerce Website (Full)\backend\data\products.json", "JSON", 80, 0, 0, 0, 0, 0, 0, 0, 0, 80
"c:\E-Commerce Website (Full)\backend\data\users.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\E-Commerce Website (Full)\backend\docs\API_OPERATIONS.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 18, 60
