"filename", "language", "XML", "JSON", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "PowerShell", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\E-Commerce Website (Full)\QUICK_START.md", "Markdown", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 78, 220
"c:\E-Commerce Website (Full)\api\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
"c:\E-Commerce Website (Full)\backend\BULLMQ_STATUS.md", "Markdown", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 32, 136
"c:\E-Commerce Website (Full)\backend\COLLECTION_PAGE_FIX.md", "Markdown", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 22, 121
"c:\E-Commerce Website (Full)\backend\MONGODB_SETUP.md", "Markdown", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 53, 165
"c:\E-Commerce Website (Full)\backend\PRODUCTION_READINESS.md", "Markdown", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 34, 146
"c:\E-Commerce Website (Full)\backend\README.md", "Markdown", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 29, 111
"c:\E-Commerce Website (Full)\backend\SECURITY_FIXES.md", "Markdown", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 22, 108
"c:\E-Commerce Website (Full)\backend\bootstrap.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 11, 19, 103
"c:\E-Commerce Website (Full)\backend\check_status.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\E-Commerce Website (Full)\backend\config\db.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\E-Commerce Website (Full)\backend\config\env.js", "JavaScript", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 1, 18, 129
"c:\E-Commerce Website (Full)\backend\controllers\adminController.js", "JavaScript", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 2, 30, 228
"c:\E-Commerce Website (Full)\backend\controllers\analyticsController.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\E-Commerce Website (Full)\backend\controllers\authController.js", "JavaScript", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 37, 34, 222
"c:\E-Commerce Website (Full)\backend\controllers\cartController.js", "JavaScript", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 32, 249
"c:\E-Commerce Website (Full)\backend\controllers\contactController.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 2, 14, 83
"c:\E-Commerce Website (Full)\backend\controllers\inventoryController.js", "JavaScript", 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 2, 48, 400
"c:\E-Commerce Website (Full)\backend\controllers\newsletterController.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 5, 15, 98
"c:\E-Commerce Website (Full)\backend\controllers\orderController.js", "JavaScript", 0, 0, 605, 0, 0, 0, 0, 0, 0, 0, 47, 93, 745
"c:\E-Commerce Website (Full)\backend\controllers\paymentController.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 1, 10, 108
"c:\E-Commerce Website (Full)\backend\controllers\phase1Controller.js", "JavaScript", 0, 0, 474, 0, 0, 0, 0, 0, 0, 0, 5, 93, 572
"c:\E-Commerce Website (Full)\backend\controllers\phase2Controller.js", "JavaScript", 0, 0, 688, 0, 0, 0, 0, 0, 0, 0, 35, 131, 854
"c:\E-Commerce Website (Full)\backend\controllers\phase3Controller.js", "JavaScript", 0, 0, 809, 0, 0, 0, 0, 0, 0, 0, 53, 155, 1017
"c:\E-Commerce Website (Full)\backend\controllers\productController.js", "JavaScript", 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 12, 46, 472
"c:\E-Commerce Website (Full)\backend\controllers\recommendationController.js", "JavaScript", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 1, 32, 246
"c:\E-Commerce Website (Full)\backend\controllers\reviewController.js", "JavaScript", 0, 0, 335, 0, 0, 0, 0, 0, 0, 0, 4, 51, 390
"c:\E-Commerce Website (Full)\backend\controllers\searchController.js", "JavaScript", 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 2, 24, 229
"c:\E-Commerce Website (Full)\backend\controllers\userController.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 26, 174
"c:\E-Commerce Website (Full)\backend\controllers\webhookController.js", "JavaScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 10, 111
"c:\E-Commerce Website (Full)\backend\controllers\wishlistController.js", "JavaScript", 0, 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 52, 411
"c:\E-Commerce Website (Full)\backend\data\admin_action_logs.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\E-Commerce Website (Full)\backend\data\defaultProducts.js", "JavaScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 2, 3, 92
"c:\E-Commerce Website (Full)\backend\data\orders.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\E-Commerce Website (Full)\backend\data\products.json", "JSON", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80
"c:\E-Commerce Website (Full)\backend\data\users.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
